title_ru,title_en,images,description,characteristics
Актинидия коломикта,Аctinidia kolomikta,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/40b/556_556_2/6n6k340ql47dhqebpv4z71hrt0gwcy1q.jpg; /upload/resize_cache/uf/7f8/556_556_2/sfqup75dzbevrrleew2gexnyg8qqnnw0.jpg; /upload/resize_cache/uf/58d/556_556_2/k0uhqexzho4r4m2ovgxphnbpksvu1yar.jpg; /upload/resize_cache/uf/ec6/556_556_2/oapm9480h6tpkeeawd7gropt84ww2tkm.jpg; /upload/resize_cache/uf/e44/556_556_2/r0fr3z516xtcsqzukcfjl2z4xw2ebnzk.jpg; /upload/resize_cache/uf/3a9/556_556_2/5wz7lerzf411o2y09oykjjnvr9ftdmov.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Крупная лиана, происходящая из лесов Дальневосточного региона. Вырастает на опоре до высоты 7–8 м. Листья простые, овальные, с заострённым концом, часто на свету меняющие окраску во время цветения на белую или розовую (мужские экземпляры). Цветки небольшие, белые, душистые, появляются в начале лета. Растение двудомное. Плоды продолговатые, напоминающие ягоды крыжовника, с приятным вкусом и высоким содержанием витаминов.","Световой режим






Местоположение

предпочитает освещённые и слегка притенённые условия. 


Требования к почве

малотребовательна. Предпочитает влажную, хорошо дренированную, гумусированную и удобренную почву слабокислой и нейтральной реакции. Плохо переносит заболачивание, засоление, сухость воздуха и почвы. 


Зимостойкость

высокая, зона USDA 4. 


Размножение

семенами и вегетативно: зелёными и одревесневшими черенками, отводками. 


Применение

в качестве декоративного растения подходит для выращивания на стене дома, пристенной решётке, перголе, у беседки. Как маскировочное растение подходит хуже, поскольку не даёт плотного покрытия и оголяется снизу. При достаточном освещении приносит съедобные и целебные плоды, напоминающие по вкусу киви, но созревающие в разное время, что затрудняет сбор урожая. Некоторые садоводы перед созреванием плодов рекомендуют под лианой расстилать ткань и собирать урожай с подстилки. Известны культурные сорта с разными вкусовыми характеристиками ягод. 


Выращивание

относительно нетребовательна. Помимо обычных мероприятий по уходу (полив в сухую погоду, рыхление почвы, прополка, подкормки), рекомендуется регулярная осенняя обрезка вегетативных побегов, поскольку лиана отличается быстрым ростом и сильным ветвлением. Хорошо отзывается на мульчирование, позволяющее сохранять влагу в почве."
Актинидия острая,Actinidia arguta,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/5cf/556_556_2/y72jz2wyxozkhhy0vkdjyauwai0mwi88.jpg; /upload/resize_cache/uf/b79/556_556_2/nq4hke92331brrapwtbdni936k3i2qo9.jpg; /upload/resize_cache/uf/079/556_556_2/q4seputri8tj3f2loxk7t5r2b60vtzmt.jpg; /upload/resize_cache/uf/34a/556_556_2/468c78p62nj4nboq3kdd3z0c5hwfetbr.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Мощная лиана, происходящая с Дальнего Востока, с плотными, кожистыми, слабо-зубчатыми эллиптическими листьями. На родине достигает 30 м высотой при толщине стволов 10–16 см, в условиях средней полосы достигает высоты 10 м и более. Растение двудомное, цветки мелкие, белые, с запахом. Сочные округлые плоды крупнее, чем у предыдущего вида, и созревают более дружно.","Световой режим






Местоположение

лучший рост и плодоношение отмечается в тёплых, защищённых от ветра, хорошо освещённых местах.



Требования к почве

предпочитает хорошо увлажнённые, умеренно плодородные, гумусированные почвы. Не переносит заболачивания и засоления почвы.



Зимостойкость

относительно высокая, зона USDA 5. В условиях средней полосы России может существенно подмерзать, уступая по этому признаку предыдущему виду.



Размножение

семенами и вегетативно: зелёными и одревесневшими черенками, отводками.



Применение

в качестве маскирующего, защитного и декоративного растения, подходит для выращивания на стене большого дома, основательной пристенной решётке, перголе. При достаточном освещении приносит съедобные и целебные плоды, напоминающие по вкусу киви или ананас. Известны культурные сорта.



Выращивание

особенного ухода не требует. В силу активного роста наращивает длинные вегетативные побеги, что может потребовать санитарной и регулирующей обрезки."
Актинидия полигамная,Actinidia polygama,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/images/no_photo_355_247.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Лиана дальневосточного происхождения, вырастающая до высоты 3–5 м. Листья продолговато-яйцевидные с пильчатым краем, цветки белые, пахучие. Плоды жёлто-оранжевые, к зиме приобретают немного жгучий вкус сладкого перца. Предпочитает дренированные, суглинистые и супесчаные, хорошо увлажнённые нейтральные и слабокислые почвы. Растёт довольно быстро, переносит затенение. Морозостойкость довольно высокая, зона USDA 4, но в крепкие морозы молодые растения и концы побегов у взрослых растений подмерзают. Ухода практически не требует, за исключением регулирующей обрезки и полива в сухие периоды. Используется как декоративная культура для оформления арок, трельяжей, стен домов и садовых строений, а также для маскировки неприглядных объектов и видов.",Световой режим
Аристолохия войлочная,Aristolochia tomentosa,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/images/no_photo_355_247.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Кустарниковая лиана до 10 м высотой родом из Северной Америки. Листья крупные, 10–16 см, снизу войлочно-опушённые. Цветки одиночные, пазушные, зеленовато-жёлтые, снаружи опушённые, 3–4 см длиной. Плоды — 6-гранные коробочки около 5 см длиной. К почвам относительно малотребовательна. Морозостойкость невысокая, зона USDA 7, по некоторым данным — 8. Скорее подходит для Крыма и Кавказа. Требует дальнейшего испытания.",Световой режим
"Аристолохия крупнолистная, кирказон",Aristolochia macrophylla,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/6ad/556_556_2/pdrv8jow30w9czslayh2klcupvl2fs3f.jpg; /upload/resize_cache/uf/2fc/556_556_2/4tdm3o8aoifi9tiehra1ebyyl51lxfmk.jpg; /upload/resize_cache/uf/7f8/556_556_2/8h9nfelxkqsqc59r57nwse4wbp6l435p.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Североамериканская древовидная лиана с листьями размерами до 30–35 см, вырастающая до высоты 6–8 м. Привлекательна благодаря крупным сердцевидным листьям, приобретающим осенью приятную для глаза окраску тёплого жёлтого цвета, небольшим зеленовато-пурпурным цветкам, напоминающим саксофон, а также крупным шестигранным плодам. Светолюбива, но лучше растёт в притенении, желательно защищать от сильных ветров. Предпочитает плодородную, дренированную, свежую и влажную суглинистую, слабокислую почву. Довольно зимостойка, зона USDA 5, возможно подмерзание побегов в суровые зимы. Не любит сухости воздуха и почвы, поэтому в засушливые периоды необходим полив. Хорошо отзывается на мульчирование почвы органическими материалами. Используется в качестве защитной ширмы, для декорирования крупных вертикальных конструкций, стен, заборов, пергол, высоких трельяжей.",Световой режим
Аристолохия маньчжурская,Aristoloсhia manshuriensis,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/3c2/556_556_2/t9gxg0xe6br4silz6i8t11ef14h90j5g.jpg; /upload/resize_cache/uf/099/556_556_2/eoibblaq9cqx9iru7xsnmdrb6xhj7462.jpg; /upload/resize_cache/uf/f46/556_556_2/dsqel1hmjhp00ftan43ov6x057vi6qft.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Поднимающаяся по опоре до высоты 8–10 м дальневосточная лиана. Формирует крупные яйцевидные или сердцевидные, опушённые снизу листья на длинных черешках и изогнутые, длинные, трубчатые коричневато-зелёные цветки, из которых затем образуются довольно большие зеленоватые плоды, напоминающие огурец. Предпочитает светлые места, но хорошо растёт и в полутени. Требует влажную, рыхлую, нейтральную и слабокислую, суглинистую почву. Чувствительна к сухости воздуха и почвы. Отличается несколько более высокой зимостойкостью, чем аристолохия крупнолистная. Во влажные периоды ухода почти не требует. В засушливые необходим полив и рыхление почвы. Хорошо отзывается на мульчирование почвы органическими материалами. Используется для декорирования арок, пергол, высоких трельяжей и других крупных вертикальных конструкций, стен, заборов. Применяется для маскировки хозяйственной зоны, технических сооружений, для загораживания нежелательных видов.",Световой режим
Виноград амурский,Vitis amurensis,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/2e4/556_556_2/talw1hwhz3x7mfp5wsjgyc8c85ng2p0j.jpg; /upload/resize_cache/uf/d91/556_556_2/z3tukn00n5jwcvqeblxwdiugi9f5o1si.jpg; /upload/resize_cache/uf/e1f/556_556_2/iazvyo55v7djyvli9knyn2lwe5p90gtk.jpg; /upload/resize_cache/uf/a1b/556_556_2/8jd9340m5yb22eclq18324q6hl5puvrr.jpg; /upload/resize_cache/uf/669/556_556_2/euq90vs789bre3jku5xaxnozobk4yqah.jpg; /upload/resize_cache/uf/8fa/556_556_2/04a9h867n723ybfrepo2dhmill3lt8y8.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Сильная усиконосная лиана, достигающая высоты более 10–15 м. Листья трёх-, пятилопастные, иногда цельные, очень декоративные, слегка морщинистые, окрашенные осенью в красный и жёлтый цвета. Цветки зеленоватые, мелкие, пахучие. Ягоды мелкие, чёрного цвета, кисло-сладкие, в довольно крупных гроздьях.","Световой режим






Местоположение

светолюбив, выносит затенение.



Требования к почве

малотребователен, растёт на почвах, разных по механическому составу, в широком диапазоне кислотности почвенного раствора. Предпочитает свежие и влажные, дренированные, нейтральные, достаточно плодородные суглинистые почвы, богатые органикой.



Зимостойкость

высокая, зона USDA 4, в редких случаях может повреждаться заморозками.



Размножение

одревесневшими и зелёными черенками.



Применение

для защиты, маскировки и декорирования обширных вертикальных поверхностей, высоких заборов, стен и строений. Требует достаточно прочных вертикальных конструкций, иногда требуется подвязка побегов.



Выращивание

относительно ветроустойчив, но лучше растёт в местах, укрытых от ветров. Пыле-, газо- и дымоустойчив. Специального ухода не требует, за исключением регулирующей обрезки, полива в сухую погоду и обработки фунгицидами при появлении признаков грибных заболеваний."
Виноград винный,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/images/no_photo_355_247.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,N/A,
Виноград кленолистный,Vitis acerifolia,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/images/no_photo_355_247.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Лиана из центральных и южных районов Северной Америки. Забирается по опоре до высоты 2–3 м. Побеги опушённые, многочисленные, листья мало рассечённые, трёхлопастные, иногда почти цельные. Цветки невзрачные, ягоды сизовато-чёрные, диаметром около 1 см, съедобные. Светолюбив, но выносит затенение. Малотребователен к почвенным условиям. Предпочитает свежие, рыхлые, умеренно плодородные, лёгкие, нейтральные и слабощелочные почвы. Довольно зимостоек, зона USDA 5 (6), в суровые зимы побеги могут подмерзать. Уход заключается в небольшой санитарной обрезке, поливе в засушливую погоду, периодическом внесении удобрений. В морозные зимы лучше зимует под укрытием. Используется для декорирования невысоких опор: решёток, трельяжей, арок, беседок, для маскировки и декорирования заборов, подпорных стенок, откосов.",Световой режим
Виноград Куанье = японский,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/images/no_photo_355_247.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,N/A,
